id,parent_id,leaf,name,label,detail,link,pmid,sort,root_url,sample_url,field_type,keyword_searchable,value_type,version
0,,False,root,Annotation,,,,0.0,,,,,,
1,0,False,Basic Info,,"Basic information about the variant, such as chromosome number, position, etc.",,,1.0,,,,,,
26,0,False,ANNOVAR,,Pre-computed ANNOVAR annotations for all alternative SNVs based on human reference genome hg19,http://annovar.openbioinformatics.org/en/latest/user-guide/download/,20601685,2.0,,,,,,6/7/2020 23:56
208,0,False,SnpEff,,SnpEff is a program for annotating and predicting the effects of single nucleotide polymorphisms,http://pcingola.github.io/SnpEff/,22728672,3.0,,,,,,snpeff-4.3.1t-5
132,0,False,VEP,,"Variant Effect Predictor (VEP) is developed by Ensembl and it determines the effect of the variants (SNPs, insertions, deletions, CNVs or structural variants) on genes, transcripts, and protein sequence, as well as regulatory regions. ",https://uswest.ensembl.org/info/docs/tools/vep/index.html,27268795,4.0,,,,,,ensembl-vep-release-112
83,0,False,AnnoQ Functional Annotations,PANTHER Functional Annotation,Functional annotation of a variant through PANTHER API.,https://pantherdb.org,33290554,5.0,,,,,,"PANTHER UPL 19, released 2024-06-20"
7,0,False,IMAGE Enhancer Linked Functional Annotations,PEREGRINE Functional Annotations,"When the variant is located in an enhancer region, the functions of its target gene inferred from the enhancer-gene links in the PEREGRINE project The ontology terms are annotated here.",https://www.peregrineproj.org/,33320871,6.0,,,,,,Initial Release
288,0,False,allele frequencies,,,,,,,,,,,
469,0,False,disease related databases,,,,,,,,,,,
495,0,False,others,,,,,7.0,,,,,,dbNSFP v4.3c
700,0,False,HG19 Info,,Comparison from version hg19,,,8.0,,,,,,
2,1,True,chr,,"Chromosome number of the variant.""",,,,,,text,True,,TOPMed: Freeze 8
3,1,True,pos,,"""position (hg38)""",,,,,,long,,,TOPMed: Freeze 8
4,1,True,ref,,"""reference allele""",,,,,,text,True,,TOPMed: Freeze 8
5,1,True,alt,,"""alternative allele""",,,,,,text,True,,TOPMed: Freeze 8
9,7,True,enhancer_linked_GO_biological_process_complete_list_id,PEREGRINE enhancer linked GO biological process complete,"When the variant is located in an enhancer region, the complete GO biological process annotations of its target genes inferred from the enhancer-gene links in the PEREGRINE project are populated here.",https://www.peregrineproj.org/,33320871,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO database released 2024-06-17, DOI: 10.5281/zenodo.12173881"
11,7,True,enhancer_linked_GO_cellular_component_complete_list_id,PEREGRINE enhancer linked GO cellular component complete,"When the variant is located in an enhancer region, the complete GO cellular component annotations of its target genes inferred from the enhancer-gene links in the PEREGRINE project are populated here.",https://www.peregrineproj.org/,33320871,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO database released 2024-06-17, DOI: 10.5281/zenodo.12173881"
